,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,201.08766174316406,201.0870,1,188506.609375,-3.3000000,i_ion,"[""['A2', 'E3']""]"
1,204.08677673339844,204.0867,1,618857.5,-0.4000000,b_ion,"[""['G0']""]"
2,232.1181640625,232.11725,2,683965.0,-3.9000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
3,263.1426696777344,263.1475,1,3451640.75,18.360000,y_ion,"[""['A5', 'J4']""]"
4,278.1231994628906,278.1234,1,1056728.25,0.72000000,i_ion,"[""['M1']""]"
5,303.1385192871094,303.1425,1,2481853.75,13.130000,i_ion,"[""['E3', 'J4']""]"
6,349.15997314453125,349.1605,1,2330770.0,1.5100000,i_ion,"[""['M1', 'A2']""]"
7,374.1753845214844,374.1796,1,1663620.375,11.270000,i_ion,"[""['A2', 'E3', 'J4']""]"
8,392.1850891113281,392.1901,1,3578414.75,12.780000,y_ion,"[""['E3', 'J4', 'A5']""]"
9,463.2225036621094,463.2272,1,1194164.75,10.140000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
10,478.2056579589844,478.2031,1,356369.125,-5.3000000,i_ion,"[""['M1', 'A2', 'E3']""]"
11,651.2908935546875,651.2957,1,430078.5625,7.3800000,i_ion,"[""['M1', 'A2', 'E3', 'J4']""]"
12,740.3381958007812,740.3433,1,3377738.75,6.8900000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
