,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05538940429688,90.0549,1,425536.21875,-5.4000000,y_ion,"[""['A5']""]"
1,173.09205627441406,173.0921,1,3089628.0,0.25000000,i_ion,"[""['J4']""]"
2,204.08670043945312,204.0867,1,5948730.5,0E-7,b_ion,"[""['G0']""]"
3,241.10763549804688,241.10505,2,67013.234375,-10.700000,b_ion,"[""['M1', 'G0']""]"
4,262.1399841308594,262.1397,1,2450082.0,-1.1000000,y_ion,"[""['J4', 'A5']""]"
5,278.12310791015625,278.1234,1,363519.34375,1.0500000,i_ion,"[""['M1']""]"
6,302.1344299316406,302.1347,1,1696812.75,0.89000000,i_ion,"[""['E3', 'J4']""]"
7,349.1611022949219,349.1605,1,676657.8125,-1.7000000,i_ion,"[""['M1', 'A2']""]"
8,373.1714172363281,373.1718,1,520629.0625,1.0300000,i_ion,"[""['A2', 'E3', 'J4']""]"
9,391.1819152832031,391.1823,1,893039.875,0.98000000,y_ion,"[""['E3', 'J4', 'A5']""]"
10,462.2159423828125,462.2194,1,217549.640625,7.4800000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
11,739.3388671875,739.3355,1,62098.23828125,-4.6000000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
