,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05553436279297,90.0549,1,6066.56103515625,-7.0000000,y_ion,"[""['A5']""]"
1,173.09234619140625,173.0921,1,134565.15625,-1.4000000,i_ion,"[""['J4']""]"
2,204.08680725097656,204.0867,1,266097.34375,-0.5000000,b_ion,"[""['G0']""]"
3,262.1396789550781,262.1397,1,122590.9609375,0.08000000,y_ion,"[""['J4', 'A5']""]"
4,278.123291015625,278.1234,1,21315.54296875,0.39000000,i_ion,"[""['M1']""]"
5,302.1344909667969,302.1347,1,91140.40625,0.69000000,i_ion,"[""['E3', 'J4']""]"
6,349.1607360839844,349.1605,1,34864.46875,-0.7000000,i_ion,"[""['M1', 'A2']""]"
7,373.1728210449219,373.1718,1,22653.05078125,-2.7000000,i_ion,"[""['A2', 'E3', 'J4']""]"
8,391.18121337890625,391.1823,1,44935.76171875,2.7800000,y_ion,"[""['E3', 'J4', 'A5']""]"
9,462.21783447265625,462.2194,1,16853.408203125,3.3900000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
10,739.3282470703125,739.3355,1,19067.078125,9.8100000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
