,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05558013916016,90.0549,1,181654.109375,-7.6000000,y_ion,"[""['A5']""]"
1,173.0922088623047,173.0921,1,221899.828125,-0.6000000,i_ion,"[""['J4']""]"
2,204.08680725097656,204.0867,1,127802.421875,-0.5000000,b_ion,"[""['G0']""]"
3,262.1392822265625,262.1397,1,73397.3203125,1.5900000,y_ion,"[""['J4', 'A5']""]"
4,278.12481689453125,278.1234,1,13705.646484375,-5.1000000,i_ion,"[""['M1']""]"
5,302.1343688964844,302.1347,1,91894.4375,1.1000000,i_ion,"[""['E3', 'J4']""]"
6,325.6482849121094,325.6476,2,14425.2978515625,-2.1000000,i_ion,"[""['M1', 'A2', 'E3', 'J4']""]"
7,349.1612854003906,349.1605,1,101374.015625,-2.2000000,i_ion,"[""['M1', 'A2']""]"
8,370.17181396484375,370.1714,2,30770.63671875,-1.1000000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
9,373.17138671875,373.1718,1,63272.03515625,1.1100000,i_ion,"[""['A2', 'E3', 'J4']""]"
10,391.1833190917969,391.1823,1,26291.029296875,-2.6000000,y_ion,"[""['E3', 'J4', 'A5']""]"
11,462.21966552734375,462.2194,1,24464.087890625,-0.6000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
12,478.2030029296875,478.2031,1,93559.1640625,0.20000000,i_ion,"[""['M1', 'A2', 'E3']""]"
13,650.2903442382812,650.2879,1,133953.875,-3.8000000,i_ion,"[""['M1', 'A2', 'E3', 'J4']""]"
14,681.2779541015625,681.2825,1,33189.1640625,6.6700000,b_ion,"[""['G0', 'M1', 'A2', 'E3']""]"
15,739.3335571289062,739.3355,1,107872.6328125,2.6300000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
