,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.09222412109375,173.0921,1,13072757.0,-0.7000000,i_ion,"[""['J4']""]"
1,204.08685302734375,204.0867,1,26847348.0,-0.7000000,b_ion,"[""['G0']""]"
2,262.1397399902344,262.1397,1,12203068.0,-0.2000000,y_ion,"[""['J4', 'A5']""]"
3,278.1246643066406,278.1234,1,1819596.5,-4.5000000,i_ion,"[""['M1']""]"
4,302.13427734375,302.1347,1,9168277.0,1.4000000,i_ion,"[""['E3', 'J4']""]"
5,349.16021728515625,349.1605,1,2644128.75,0.81000000,i_ion,"[""['M1', 'A2']""]"
6,373.1716613769531,373.1718,1,2490578.25,0.37000000,i_ion,"[""['A2', 'E3', 'J4']""]"
7,391.181396484375,391.1823,1,3536863.5,2.3100000,y_ion,"[""['E3', 'J4', 'A5']""]"
8,462.2196960449219,462.2194,1,804578.4375,-0.6000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
9,739.3311767578125,739.3355,1,1683906.875,5.8500000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
