,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05532836914062,90.0549,1,8627.2861328125,-4.8000000,y_ion,"[""['A5']""]"
1,173.09225463867188,173.0921,1,71409.6484375,-0.9000000,i_ion,"[""['J4']""]"
2,201.08807373046875,201.0870,1,2456.9169921875,-5.3000000,i_ion,"[""['A2', 'E3']""]"
3,204.0867919921875,204.0867,1,172337.90625,-0.5000000,b_ion,"[""['G0']""]"
4,262.1399230957031,262.1397,1,69777.2109375,-0.9000000,y_ion,"[""['J4', 'A5']""]"
5,278.1228332519531,278.1234,1,18293.771484375,2.0400000,i_ion,"[""['M1']""]"
6,302.13470458984375,302.1347,1,58345.19140625,0E-7,i_ion,"[""['E3', 'J4']""]"
7,349.16070556640625,349.1605,1,40657.76171875,-0.6000000,i_ion,"[""['M1', 'A2']""]"
8,373.1719970703125,373.1718,1,14237.3154296875,-0.5000000,i_ion,"[""['A2', 'E3', 'J4']""]"
9,391.1812438964844,391.1823,1,36589.5390625,2.7000000,y_ion,"[""['E3', 'J4', 'A5']""]"
10,427.1924743652344,427.1873,2,2397.0166015625,-12.100000,b_ion,"[""['G0', 'M1', 'A2', 'E3', 'J4']""]"
11,462.217529296875,462.2194,1,10332.6904296875,4.0500000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
12,478.19598388671875,478.2031,1,2989.96923828125,14.880000,i_ion,"[""['M1', 'A2', 'E3']""]"
13,739.3299560546875,739.3355,1,12087.6494140625,7.5000000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
