,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.09222412109375,173.0921,2,83425.203125,-0.7000000,i_ion,"[""['J32', 'J38']""]"
1,204.08680725097656,204.0867,1,665877.3125,-0.5000000,b_ion,"[""['G34']""]"
2,204.08680725097656,204.0867,1,665877.3125,-0.5000000,b_ion,"[""['G28']""]"
3,278.1231994628906,278.1234,1,50515.7890625,0.72000000,i_ion,"[""['M35']""]"
4,278.1231994628906,278.1234,1,50515.7890625,0.72000000,i_ion,"[""['M29']""]"
5,302.135009765625,302.1347,2,132241.71875,-1.0000000,i_ion,"[""['E31', 'J32', 'E37', 'J38']""]"
6,349.16046142578125,349.1605,1,89824.359375,0.11000000,i_ion,"[""['A36', 'M35']""]"
7,349.16046142578125,349.1605,1,89824.359375,0.11000000,i_ion,"[""['M29', 'A30']""]"
8,373.1715087890625,373.1718,2,28943.34765625,0.78000000,i_ion,"[""['A30', 'E31', 'J32', 'A36', 'E37', 'J38']""]"
9,374.1734924316406,374.1796,1,3996.459228515625,16.320000,i_ion,"[""['A36', 'E37', 'J38']""]"
10,434.2270202636719,434.2246,1,22977.04296875,-5.6000000,i_ion,"[""['J32', 'A33', 'J38']""]"
11,474.2177734375,474.2195,1,11781.7314453125,3.6400000,i_ion,"[""['E31', 'J32', 'J38']""]"
12,474.2177734375,474.2195,1,11781.7314453125,3.6400000,i_ion,"[""['J32', 'E37', 'J38']""]"
13,478.20855712890625,478.2031,1,4761.44482421875,-11.400000,i_ion,"[""['A36', 'M35', 'E37']""]"
14,478.20855712890625,478.2031,1,4761.44482421875,-11.400000,i_ion,"[""['M29', 'E31', 'A30']""]"
15,511.7294616699219,511.72985,2,10513.8720703125,0.76000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A36', 'E37', 'J38']""]"
16,511.7294616699219,511.72985,2,10513.8720703125,0.76000000,i_ion,"[""['A30', 'E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
17,545.2566528320312,545.2566,1,5579.1279296875,-0.1000000,i_ion,"[""['A30', 'E31', 'J32', 'J38']""]"
18,545.2566528320312,545.2566,1,5579.1279296875,-0.1000000,i_ion,"[""['J32', 'A36', 'E37', 'J38']""]"
19,563.2677001953125,563.2672,1,36272.62890625,-0.9000000,i_ion,"[""['E31', 'J32', 'A33', 'J38']""]"
20,563.2677001953125,563.2672,1,36272.62890625,-0.9000000,i_ion,"[""['J32', 'A33', 'E37', 'J38']""]"
21,603.259765625,603.2621,1,15980.8837890625,3.8700000,i_ion,"[""['E31', 'J32', 'E37', 'J38']""]"
22,634.2938232421875,634.3043,1,12485.28515625,16.520000,i_ion,"[""['A30', 'E31', 'J32', 'A33', 'J38']""]"
23,634.2938232421875,634.3043,1,12485.28515625,16.520000,i_ion,"[""['J32', 'A33', 'A36', 'E37', 'J38']""]"
24,650.2845458984375,650.2879,2,24103.859375,5.1600000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
25,651.2854614257812,651.2957,1,11163.5185546875,15.720000,i_ion,"[""['M35', 'A36', 'E37', 'J38']""]"
26,674.2963256835938,674.2992,1,6451.724609375,4.2600000,i_ion,"[""['A30', 'E31', 'J32', 'E37', 'J38']""]"
27,674.2963256835938,674.2992,1,6451.724609375,4.2600000,i_ion,"[""['E31', 'J32', 'A36', 'E37', 'J38']""]"
28,692.3081665039062,692.3098,1,22620.830078125,2.3600000,i_ion,"[""['E31', 'J32', 'A33', 'E37', 'J38']""]"
29,763.3394775390625,763.3469,1,11398.0166015625,9.7200000,i_ion,"[""['A30', 'E31', 'J32', 'A33', 'E37', 'J38']""]"
30,763.3394775390625,763.3469,1,11398.0166015625,9.7200000,i_ion,"[""['E31', 'J32', 'A33', 'A36', 'E37', 'J38']""]"
31,822.3614501953125,822.3727,1,5537.021484375,13.680000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'J38']""]"
32,822.3614501953125,822.3727,1,5537.021484375,13.680000,i_ion,"[""['J32', 'M35', 'A36', 'E37', 'J38']""]"
33,911.4231567382812,911.4204,1,57308.1015625,-3.0000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A33', 'J38']""]"
34,911.4231567382812,911.4204,1,57308.1015625,-3.0000000,i_ion,"[""['J32', 'A33', 'M35', 'A36', 'E37', 'J38']""]"
35,951.4136962890625,951.4153,1,54156.90234375,1.6900000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'E37', 'J38']""]"
36,951.4136962890625,951.4153,1,54156.90234375,1.6900000,i_ion,"[""['E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
37,1022.4498291015625,1022.4524,1,59461.0078125,2.5100000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A36', 'E37', 'J38']""]"
38,1022.4498291015625,1022.4524,1,59461.0078125,2.5100000,i_ion,"[""['A30', 'E31', 'J32', 'M35', 'A36', 'E37', 'J38']""]"
39,1040.4647216796875,1040.4630,1,86289.3125,-1.7000000,i_ion,"[""['M29', 'A30', 'E31', 'J32', 'A33', 'E37', 'J38']""]"
40,1040.4647216796875,1040.4630,1,86289.3125,-1.7000000,i_ion,"[""['E31', 'J32', 'A33', 'M35', 'A36', 'E37', 'J38']""]"
