,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.09213256835938,173.0921,1,936636.1875,-0.2000000,i_ion,"[""['J4']""]"
1,201.08633422851562,201.0870,1,12575.1435546875,3.3100000,i_ion,"[""['A2', 'E3']""]"
2,262.13995361328125,262.1397,1,946590.5625,-1.0000000,y_ion,"[""['A5', 'J4']""]"
3,278.1231689453125,278.1234,1,87533.078125,0.83000000,i_ion,"[""['M1']""]"
4,302.1347351074219,302.1347,1,634061.1875,-0.1000000,i_ion,"[""['E3', 'J4']""]"
5,349.16021728515625,349.1605,1,201161.265625,0.81000000,i_ion,"[""['M1', 'A2']""]"
6,373.17120361328125,373.1718,1,176123.90625,1.6000000,i_ion,"[""['A2', 'E3', 'J4']""]"
7,391.1822814941406,391.1823,1,426792.6875,0.05000000,y_ion,"[""['E3', 'J4', 'A5']""]"
8,462.21978759765625,462.2194,1,76009.21875,-0.8000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
9,478.20751953125,478.2031,1,12153.03125,-9.2000000,i_ion,"[""['M1', 'A2', 'E3']""]"
10,482.2183532714844,482.2106,1,6179.751953125,-16.100000,b_ion,"[""['G0', 'M1']""]"
11,739.3306884765625,739.3355,1,67188.1328125,6.5100000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
