,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05516815185547,90.0549,1,12545.9365234375,-3.0000000,y_ion,"[""['A5']""]"
1,173.0922393798828,173.0921,1,176157.75,-0.8000000,i_ion,"[""['J4']""]"
2,201.08807373046875,201.0870,1,9612.4794921875,-5.3000000,i_ion,"[""['A2', 'E3']""]"
3,205.0904083251953,205.0945,1,103525.203125,19.950000,b_ion,"[""['G0']""]"
4,262.1398620605469,262.1397,1,123405.2265625,-0.6000000,y_ion,"[""['A5', 'J4']""]"
5,278.1257019042969,278.1234,1,6756.1728515625,-8.3000000,i_ion,"[""['M1']""]"
6,302.1349182128906,302.1347,1,102589.46875,-0.7000000,i_ion,"[""['E3', 'J4']""]"
7,349.1611328125,349.1605,1,26944.572265625,-1.8000000,i_ion,"[""['M1', 'A2']""]"
8,373.1726989746094,373.1718,1,30713.287109375,-2.4000000,i_ion,"[""['A2', 'E3', 'J4']""]"
9,391.18310546875,391.1823,1,46199.5859375,-2.1000000,y_ion,"[""['E3', 'J4', 'A5']""]"
