,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.09222412109375,173.0921,1,2132014.0,-0.7000000,i_ion,"[""['J4']""]"
1,262.13983154296875,262.1397,1,2344446.0,-0.5000000,y_ion,"[""['A5', 'J4']""]"
2,278.12359619140625,278.1234,1,287542.46875,-0.7000000,i_ion,"[""['M1']""]"
3,302.1346740722656,302.1347,1,2238685.75,0.09000000,i_ion,"[""['E3', 'J4']""]"
4,349.1606750488281,349.1605,1,728482.125,-0.5000000,i_ion,"[""['M1', 'A2']""]"
5,373.1722412109375,373.1718,1,649724.5625,-1.2000000,i_ion,"[""['A2', 'E3', 'J4']""]"
6,391.1822204589844,391.1823,1,1530191.875,0.20000000,y_ion,"[""['E3', 'J4', 'A5']""]"
7,462.22113037109375,462.2194,1,346471.96875,-3.7000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
8,478.20147705078125,478.2031,1,113593.46875,3.3900000,i_ion,"[""['M1', 'A2', 'E3']""]"
9,650.286376953125,650.2879,1,72396.0859375,2.3400000,i_ion,"[""['M1', 'A2', 'E3', 'J4']""]"
10,739.336181640625,739.3355,1,937222.75,-0.9000000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
