,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,90.05540466308594,90.0549,1,827519.25,-5.6000000,y_ion,"[""['A5']""]"
1,173.09222412109375,173.0921,1,13796035.0,-0.7000000,i_ion,"[""['J4']""]"
2,262.1400451660156,262.1397,1,13845861.0,-1.3000000,y_ion,"[""['A5', 'J4']""]"
3,278.1226806640625,278.1234,1,1971180.25,2.5900000,i_ion,"[""['M1']""]"
4,302.1349182128906,302.1347,1,10333489.0,-0.7000000,i_ion,"[""['E3', 'J4']""]"
5,349.1598815917969,349.1605,1,4144314.75,1.7700000,i_ion,"[""['M1', 'A2']""]"
6,373.172607421875,373.1718,1,2230548.5,-2.2000000,i_ion,"[""['A2', 'E3', 'J4']""]"
7,391.18218994140625,391.1823,1,5628649.5,0.28000000,y_ion,"[""['E3', 'J4', 'A5']""]"
8,462.22088623046875,462.2194,1,806462.75,-3.2000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
9,739.3339233398438,739.3355,1,2625733.75,2.1300000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
