,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.0921630859375,173.0921,1,342545.5,-0.4000000,i_ion,"[""['J4']""]"
1,204.08717346191406,204.0867,1,13991.015625,-2.3000000,b_ion,"[""['G0']""]"
2,232.11813354492188,232.1173,2,28608.390625,-3.6000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
3,263.14276123046875,263.1476,1,110583.78125,18.390000,y_ion,"[""['A5', 'J4']""]"
4,278.12359619140625,278.1234,1,35181.5625,-0.7000000,i_ion,"[""['M1']""]"
5,302.1346435546875,302.1347,1,301924.375,0.19000000,i_ion,"[""['E3', 'J4']""]"
6,349.1597900390625,349.1605,1,105525.8828125,2.0300000,i_ion,"[""['M1', 'A2']""]"
7,373.1715393066406,373.1718,1,102705.1484375,0.70000000,i_ion,"[""['A2', 'E3', 'J4']""]"
8,392.18505859375,392.1902,1,128526.1875,13.110000,y_ion,"[""['E3', 'J4', 'A5']""]"
9,463.22174072265625,463.2273,1,41339.265625,12.000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
10,740.3399047851562,740.3434,1,189617.828125,4.7200000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
