,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.09213256835938,173.0921,1,936636.1875,-0.2000000,i_ion,"[""['J4']""]"
1,201.08633422851562,201.0870,1,12575.1435546875,3.3100000,i_ion,"[""['A2', 'E3']""]"
2,204.08682250976562,204.0867,1,78184.5234375,-0.6000000,b_ion,"[""['G0']""]"
3,232.1172332763672,232.1173,2,66107.546875,0.29000000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
4,241.10801696777344,241.10505,2,35106.52734375,-12.300000,b_ion,"[""['G0', 'M1']""]"
5,263.1429443359375,263.1476,1,543475.1875,17.690000,y_ion,"[""['A5', 'J4']""]"
6,278.1231689453125,278.1234,1,87533.078125,0.83000000,i_ion,"[""['M1']""]"
7,302.1347351074219,302.1347,1,634061.1875,-0.1000000,i_ion,"[""['E3', 'J4']""]"
8,349.16021728515625,349.1605,1,201161.265625,0.81000000,i_ion,"[""['M1', 'A2']""]"
9,373.17120361328125,373.1718,1,176123.90625,1.6000000,i_ion,"[""['A2', 'E3', 'J4']""]"
10,392.1854553222656,392.1902,1,390921.34375,12.100000,y_ion,"[""['E3', 'J4', 'A5']""]"
11,463.2222595214844,463.2273,1,91600.7109375,10.880000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
12,478.20751953125,478.2031,1,12153.03125,-9.2000000,i_ion,"[""['M1', 'A2', 'E3']""]"
13,481.2103271484375,481.2028,1,13206.8623046875,-15.600000,b_ion,"[""['G0', 'M1']""]"
14,740.3382568359375,740.3434,1,156592.3125,6.9500000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
