,Observered Ion,Theoretical Ion,Charge,count,PPM Error,Ion Type,Structure
0,173.09217834472656,173.0921,1,119757.109375,-0.5000000,i_ion,"[""['J4']""]"
1,204.08694458007812,204.0867,1,4828.16796875,-1.2000000,b_ion,"[""['G0']""]"
2,232.11669921875,232.1173,2,8366.8701171875,2.5900000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
3,263.14306640625,263.1476,1,15231.5361328125,17.230000,y_ion,"[""['A5', 'J4']""]"
4,278.1221008300781,278.1234,1,19173.248046875,4.6700000,i_ion,"[""['M1']""]"
5,302.13458251953125,302.1347,1,123330.3359375,0.39000000,i_ion,"[""['E3', 'J4']""]"
6,349.1606140136719,349.1605,1,53264.890625,-0.3000000,i_ion,"[""['M1', 'A2']""]"
7,373.1717529296875,373.1718,1,35431.48046875,0.13000000,i_ion,"[""['A2', 'E3', 'J4']""]"
8,392.1852722167969,392.1902,1,18710.857421875,12.560000,y_ion,"[""['E3', 'J4', 'A5']""]"
9,463.2245178222656,463.2273,1,5331.962890625,6.0100000,y_ion,"[""['A2', 'E3', 'J4', 'A5']""]"
10,650.290283203125,650.2879,1,5679.1279296875,-3.7000000,i_ion,"[""['M1', 'A2', 'E3', 'J4']""]"
11,740.3401489257812,740.3434,1,29444.07421875,4.3900000,y_ion,"[""['M1', 'A2', 'E3', 'J4', 'A5']""]"
