node1,node2,chain_colour_ID,linktype
G33,M34,violet,2
M34,A35,violet,2
A35,E36,violet,2
E36,J37,violet,2
J37,A38,violet,2
G39,M40,violet,2
M40,A41,violet,2
A41,E42,violet,2
E42,J43,violet,2
J43,A38,violet,2
