node1,node2,chain_colour_ID,linktype
G6,M7,violet,2
M7,A8,violet,2
A8,E9,violet,2
E9,J10,violet,2
G11,M12,violet,2
M12,A13,violet,2
A13,E14,violet,2
E14,J15,violet,2
J15,A16,violet,2
J15,J10,violet,2
